Pratcult	Coupe	N	Fe	Pro
P1	C1	5	0.054	31.08
P1	C1	4.9	0.054	30.77
P1	C1	5.6	0.062	34.72
P1	C1	5.5	0.062	34.37
P1	C1	5.3	0.116	33.32
P1	C1	5.3	0.115	32.99
P1	C2	5.1	0.036	31.92
P1	C2	5.1	0.036	31.6
P1	C2	5.1	0.039	31.92
P1	C2	5.1	0.039	31.6
P1	C2	5.5	0.035	34.16
P1	C2	5.4	0.035	33.82
P2	C1	4.9	0.045	30.8
P2	C1	4.9	0.045	30.49
P2	C1	5.6	0.038	34.72
P2	C1	5.5	0.037	34.37
P2	C1	4.7	0.067	29.12
P2	C1	4.6	0.066	28.83
P2	C2	4.3	0.06	27.16
P2	C2	4.3	0.06	26.89
P2	C2	4.8	0.037	30.24
P2	C2	4.8	0.037	29.94
P2	C2	4.7	0.026	29.4
P2	C2	4.7	0.026	29.11
P3	C1	4.5	0.036	28
P3	C1	4.4	0.035	27.72
P3	C1	4.6	0.03	28.84
P3	C1	4.6	0.029	28.55
P3	C1	4.5	0.038	28
P3	C1	4.4	0.037	27.72
P3	C2	4.4	0.021	27.44
P3	C2	4.3	0.021	27.17
P3	C2	4.9	0.033	30.52
P3	C2	4.8	0.033	30.22
P3	C2	4.5	0.034	28.28
P3	C2	4.5	0.034	28
